ID,Chiku,遺跡番号,調査番号,遺物番号,No,S,V,H,X,Y,Z,Date,Pen,Size,Mark,FileLink,Soui,Syubetu,拡張表示使用,拡張線幅,拡張線色,拡張点色,レイヤー名,MARKERX,MARKERY,LAYERPAGE,INVISIBLE,DELETEFLG,HANDFLG,器械点,バック点,器械高,ミラー高,メディア
1,P2066A,,,,,,,,-137177.579,102097.662,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
2,P2066A',,,,,,,,-137176.975,102098.120,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
3,P2251A,,,,,,,,-137203.730,102127.666,2.465,,1,1.000,1,,2-3,,False,,,0,1               ,0,0,0,False,False,False,,,,,
4,P2251A',,,,,,,,-137205.215,102127.299,2.533,,1,1.000,1,,2-3,,False,,,0,1               ,0,0,0,False,False,False,,,,,
5,P2350A,,,,,,,,-137201.586,102121.763,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
6,P2350A',,,,,,,,-137201.340,102122.533,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
7,P2387A,,,,,,,,-137192.789,102119.685,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
8,P2387A',,,,,,,,-137192.501,102120.081,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
9,P2390A,,,,,,,,-137198.871,102110.395,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
10,P2390A',,,,,,,,-137198.970,102109.338,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
11,P2401A,,,,,,,,-137195.751,102121.644,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
12,P2401A',,,,,,,,-137195.183,102121.993,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
13,P6178A,,,,,,,,-137177.009,102114.798,2.465,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
14,P6178A',,,,,,,,-137177.605,102114.832,2.533,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
15,SD201A,,,,,,,,-137173.484,102094.360,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
16,SD201A',,,,,,,,-137173.938,102093.631,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
17,SD203・204A,,,,,,,,-137184.230,102101.080,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
18,SD203・204A',,,,,,,,-137185.132,102100.298,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
19,SD205A,,,,,,,,-137187.459,102082.620,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
20,SD205A',,,,,,,,-137188.276,102083.111,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
21,SD206A,,,,,,,,-137190.074,102097.449,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
22,SD206A',,,,,,,,-137189.729,102098.056,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
23,SD207A,,,,,,,,-137183.403,102090.556,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
24,SD207A',,,,,,,,-137190.064,102085.614,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
25,SD207B,,,,,,,,-137185.973,102095.978,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
26,SD207B',,,,,,,,-137193.996,102091.543,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
27,SD207C,,,,,,,,-137194.897,102099.838,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
28,SD207C',,,,,,,,-137198.708,102095.362,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
29,SD208A,,,,,,,,-137200.998,102086.115,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
30,SD208A',,,,,,,,-137201.857,102086.096,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
31,SD208B,,,,,,,,-137199.503,102089.005,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
32,SD208B',,,,,,,,-137200.218,102089.651,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
33,SD208C,,,,,,,,-137194.506,102092.015,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
34,SD208C',,,,,,,,-137195.495,102092.914,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
35,SD209A,,,,,,,,-137198.672,102095.802,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
36,SD209A',,,,,,,,-137198.832,102094.294,1.923,,1,1.000,1,,2-2,,False,,,0,1               ,0,0,0,False,False,False,,,,,
