,,S,1,29.874,93.0420,248.1420,-137493.023,102391.941,2.993
,,S,2,17.081,94.5820,240.1320,-137479.874,102390.825,3.114
,,S,3,5.501,101.3530,174.2600,-137464.329,102389.502,3.489
,,S,4,8.596,96.4820,153.1710,-137461.295,102392.126,3.575
,,S,5,9.480,96.1050,154.5720,-137461.247,102393.052,3.573
B02,,B,6,66.653,91.0350,85.2420,-137397.634,102386.388,3.356
BM01,,B,7,66.653,91.0110,0.0000,-137464.24,102384.114,3.374
,,B,8,34.068,92.0950,76.2020,-137404.543,102353.052,3.274
,,B,9,49.055,91.3310,79.0310,-137405.3,102337.954,3.231
BM03,,B,10,45.440,91.3350,78.5840,-137404.794,102341.532,3.32
PM01,,B,11,8.668,95.4340,55.1310,-137391.416,102380.413,3.682
PM01,,B,12,8.668,95.4340,55.1310,-137391.416,102380.413,3.682
PM01,,P,13,8.668,95.4340,55.1300,-137391.416,102380.413,3.682
BM4,,B,14,8.666,95.3910,55.1300,-137411.013,102347.504,3.648
*,
